new_#,midterm,week,week_title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID,old_#
130,2,7,"Hormones, the slow control system",Endocrine Principles,Hormone transport and half life,Explain how protein binding in plasma affects the free hormone fraction and the half life and predict which hormone class circulates bound.,Yes,,3,high,w9-hormone-transport,130
131,2,7,"Hormones, the slow control system",Endocrine Principles,Hormone receptors and target response,Explain why one hormone can produce different responses in different tissues and relate receptor number to target cell sensitivity.,Yes,,3,core,w9-hormone-receptors,131
132,2,7,"Hormones, the slow control system",Endocrine Principles,Hormone interactions,"Define synergism, permissiveness, and antagonism and identify each in a described hormone pair.",Yes,,2,high,w9-hormone-interactions,132
133,2,7,"Hormones, the slow control system",Endocrine Principles,Control of hormone release,"Classify a hormone stimulus as humoral, neural, or hormonal and trace an example of each.",Yes,,2,core,w9-hormone-release,133
134,2,7,"Hormones, the slow control system",Endocrine Principles,Hypothalamic pituitary axes,Trace a three tier axis from hypothalamic releasing hormone through the anterior pituitary trophic hormone to the peripheral gland and place the long and short loop negative feedback.,Yes,Yes,3,core,w9-hypothalamic-pituitary,134
135,2,7,"Hormones, the slow control system",Endocrine Principles,Primary and secondary endocrine disorders,Use hormone levels at two tiers of an axis to classify a disorder as primary or secondary and as hypersecretion or hyposecretion.,Yes,Yes,3,core,w9-endocrine-pathology,135
136,2,7,"Hormones, the slow control system",Endocrine Glands,Posterior pituitary hormones,Explain why the posterior pituitary is neural tissue and state the stimulus and target action of antidiuretic hormone and oxytocin.,Yes,,2,core,w9-posterior-pituitary,136
137,2,7,"Hormones, the slow control system",Endocrine Glands,Hormone assay,Run or simulate an immunoassay for a hormone and use the standard curve to determine an unknown concentration.,,Yes,3,high,w9-lab-hormone-assay,145
138,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Hypothalamic pituitary gonadal axis,Trace the gonadotropin releasing hormone axis to the gonads and place the feedback loops for both sexes.,Yes,,2,core,w15-hpg-axis,259
139,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Male reproductive physiology,"Explain the control of spermatogenesis by follicle stimulating hormone, luteinizing hormone, and testosterone and state the roles of the Sertoli and Leydig cells.",Yes,,2,core,w15-male-reproductive,260
140,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Ovarian cycle,"Order the follicular, ovulatory, and luteal phases and explain how the luteinizing hormone surge is triggered by positive feedback.",Yes,Yes,3,core,w15-ovarian-cycle,261
141,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Uterine cycle,"Correlate the menstrual, proliferative, and secretory phases of the uterine cycle with the estrogen and progesterone levels that drive them.",Yes,Yes,3,core,w15-uterine-cycle,262
142,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Pregnancy and placental hormones,"Explain how human chorionic gonadotropin rescues the corpus luteum and state the roles of placental estrogen, progesterone, and relaxin.",Yes,,2,high,w15-pregnancy-hormones,263
143,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Parturition and lactation,Explain labor as a positive feedback loop driven by oxytocin and compare the hormonal control of milk production with milk ejection.,Yes,,3,core,w15-parturition-lactation,264
144,2,8,"Reproduction, and the clearest positive feedback loop",Reproductive Physiology,Hormone cycle graph interpretation,Read a graph of gonadotropin and ovarian hormone levels across a cycle and identify the day of ovulation and the event driving each peak.,,Yes,3,core,w15-lab-cycle-graphs,265
145,2,9,How the heart pumps blood,Autonomic Nervous System,Adrenal medulla,Explain why the adrenal medulla is a modified sympathetic ganglion and compare the duration of its circulating catecholamine effect with direct sympathetic innervation.,Yes,,2,high,w8-adrenal-medulla,126
146,2,9,How the heart pumps blood,Cardiac Electrophysiology,Pacemaker potential,"Explain the unstable pacemaker potential of the sinoatrial node by the funny current, calcium entry, and potassium exit and state what sets intrinsic heart rate.",Yes,,3,core,w10-pacemaker-potential,158
147,2,9,How the heart pumps blood,Cardiac Electrophysiology,Contractile cell action potential,"Diagram the ventricular action potential and identify the ion movement responsible for the rapid upstroke, the plateau, and repolarization.",Yes,Yes,3,core,w10-cardiac-ap,159
148,2,9,How the heart pumps blood,Cardiac Electrophysiology,Conduction system,"Trace an impulse through the sinoatrial node, internodal pathways, atrioventricular node, bundle of His, bundle branches, and Purkinje fibers and explain the purpose of the atrioventricular delay.",Yes,Yes,2,core,w10-conduction-system,160
149,2,9,How the heart pumps blood,Cardiac Electrophysiology,Cardiac refractory period,Explain why the long refractory period of cardiac muscle prevents tetanus and why that matters for pump function.,Yes,,3,core,w10-cardiac-refractory,161
150,2,9,How the heart pumps blood,Cardiac Electrophysiology,ECG waves and intervals,"Label the P wave, QRS complex, T wave, PR interval, and QT interval and state the electrical event each represents.",Yes,Yes,2,core,w10-ecg-basics,162
151,2,9,How the heart pumps blood,Cardiac Electrophysiology,ECG interpretation,"Calculate heart rate from an ECG strip and identify sinus rhythm, tachycardia, bradycardia, and a first degree or complete heart block.",Yes,Yes,3,core,w10-ecg-interpretation,163
152,2,9,How the heart pumps blood,Cardiac Electrophysiology,ECG recording,"Record a lead II ECG, measure the intervals, and correlate each wave with the mechanical event that follows it.",,Yes,3,core,w10-lab-ecg,164
153,2,9,How the heart pumps blood,Cardiac Mechanics,Cardiac cycle,Order the phases of the cardiac cycle and state the pressure relationship that opens and closes the atrioventricular and semilunar valves in each phase.,Yes,Yes,3,core,w11-cardiac-cycle,165
154,2,9,How the heart pumps blood,Cardiac Mechanics,Pressure volume loop,"Label the four phases of a ventricular pressure volume loop and predict how the loop changes with increased preload, increased afterload, or increased contractility.",Yes,,3,high,w11-pv-loop,166
155,2,9,How the heart pumps blood,Cardiac Mechanics,Heart sounds,Explain the origin of the first and second heart sounds and relate a murmur to valve stenosis or regurgitation by its timing.,Yes,Yes,3,core,w11-heart-sounds,167
156,2,9,How the heart pumps blood,Cardiac Mechanics,Stroke volume and ejection fraction,Calculate stroke volume and ejection fraction from end diastolic and end systolic volumes and interpret a reduced ejection fraction.,Yes,Yes,3,core,w11-stroke-volume,168
157,2,9,How the heart pumps blood,Cardiac Mechanics,Cardiac output,Calculate cardiac output and cardiac reserve and predict the effect of a change in heart rate or stroke volume on each.,Yes,Yes,3,core,w11-cardiac-output,169
158,2,9,How the heart pumps blood,Cardiac Mechanics,Frank Starling relationship,State the Frank Starling law and explain how venous return and end diastolic volume determine the force of the next contraction.,Yes,,3,core,w11-frank-starling,170
159,2,9,How the heart pumps blood,Cardiac Mechanics,Preload afterload and contractility,"Distinguish preload, afterload, and contractility and predict how a change in each alters stroke volume.",Yes,,3,core,w11-preload-afterload,171
160,2,9,How the heart pumps blood,Cardiac Mechanics,Autonomic regulation of the heart,Explain how sympathetic and parasympathetic input alter heart rate and contractility at the receptor and second messenger level.,Yes,,3,core,w11-cardiac-regulation,172
161,2,9,How the heart pumps blood,Cardiac Mechanics,Heart sound and pulse correlation,"Auscultate the heart sounds, locate the valve areas, and correlate the sounds with the pulse and with the cardiac cycle phases.",,Yes,2,core,w11-lab-heart-sounds,173
162,2,10,"Pressure, flow, and holding blood pressure steady",Endocrine Glands,Adrenal cortex,"Match the three cortical zones to aldosterone, cortisol, and the adrenal androgens and state the primary action of each.",Yes,Yes,2,core,w9-adrenal-cortex,139
163,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Pressure flow and resistance,"Apply the relationship among flow, pressure gradient, and resistance and predict the effect of a change in vessel radius, blood viscosity, or vessel length on flow.",Yes,Yes,3,core,w11-flow-resistance,174
164,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Vessel structure and function,"Match arteries, arterioles, capillaries, venules, and veins to their role in pressure buffering, resistance, exchange, and capacitance.",Yes,Yes,2,core,w11-vessel-function,175
165,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Arterial blood pressure,"Define systolic, diastolic, pulse, and mean arterial pressure, calculate mean arterial pressure, and explain how it is determined by cardiac output and total peripheral resistance.",Yes,Yes,3,core,w11-blood-pressure,176
166,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Local control of blood flow,"Explain myogenic, metabolic, and endothelial control of arteriolar tone and predict the local flow response to increased tissue metabolism.",Yes,,3,core,w11-local-blood-flow,177
167,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Capillary exchange and Starling forces,Identify the four Starling forces at a capillary and determine the net direction of fluid movement at the arterial and venous ends.,Yes,,3,core,w11-capillary-exchange,178
168,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Edema,"Explain how increased capillary hydrostatic pressure, reduced plasma protein, increased permeability, or lymphatic blockage each produce edema and match a clinical scenario to its mechanism.",Yes,,3,high,w11-edema,179
169,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Venous return,"Explain the skeletal muscle pump, the respiratory pump, and venoconstriction and predict the effect of prolonged standing on venous return and stroke volume.",Yes,Yes,3,core,w11-venous-return,181
170,2,10,"Pressure, flow, and holding blood pressure steady",Vascular Physiology,Blood pressure measurement,"Measure blood pressure by auscultation, explain the origin of the Korotkoff sounds, and record the response to a postural or exercise challenge.",,Yes,3,core,w11-lab-bp-measurement,182
171,2,10,"Pressure, flow, and holding blood pressure steady",Cardiovascular Regulation,Baroreceptor reflex,Trace the baroreceptor reflex from the carotid sinus and aortic arch through the medulla to the heart and vessels and state the response to a fall in blood pressure.,Yes,Yes,3,core,w11-baroreflex,183
172,2,10,"Pressure, flow, and holding blood pressure steady",Cardiovascular Regulation,Hormonal control of blood pressure,"Describe the roles of angiotensin II, aldosterone, antidiuretic hormone, and atrial natriuretic peptide in long term blood pressure control.",Yes,,3,core,w11-cv-hormonal,184
173,2,10,"Pressure, flow, and holding blood pressure steady",Cardiovascular Regulation,Cardiovascular response to exercise,"Predict the change in heart rate, stroke volume, cardiac output, total peripheral resistance, and regional blood flow distribution during moderate exercise.",Yes,Yes,3,core,w11-exercise-cv,185
174,2,10,"Pressure, flow, and holding blood pressure steady",Cardiovascular Regulation,Compensation in hemorrhage and shock,Sequence the compensatory responses to blood loss and explain the point at which compensation fails.,Yes,,3,high,w11-shock-compensation,186
175,3,11,"Blood, and how the body defends itself",Blood,Plasma and blood functions,"State the three functional categories of blood, transport, regulation, and protection, and name the major plasma proteins and the function of each.",Yes,Yes,2,core,w10-plasma,146
176,3,11,"Blood, and how the body defends itself",Blood,Hematocrit and formed elements,Define hematocrit and interpret a value as normal or abnormal in the context of anemia and dehydration.,Yes,Yes,2,core,w10-hematocrit,147
177,3,11,"Blood, and how the body defends itself",Blood,Erythrocyte structure and hemoglobin,Relate the biconcave shape and absent nucleus of the erythrocyte to its function and describe how the four heme groups of hemoglobin carry oxygen.,Yes,Yes,2,core,w10-rbc-hemoglobin,148
178,3,11,"Blood, and how the body defends itself",Blood,Erythropoiesis and its regulation,Trace the erythropoietin negative feedback loop from tissue hypoxia to increased red cell production and state the nutrients required.,Yes,,3,core,w10-erythropoiesis,149
179,3,11,"Blood, and how the body defends itself",Blood,Red cell destruction and bilirubin,Trace the fate of hemoglobin after red cell breakdown and explain how failure to clear bilirubin produces jaundice.,Yes,,2,high,w10-rbc-destruction,150
180,3,11,"Blood, and how the body defends itself",Blood,Leukocytes,"Match neutrophils, lymphocytes, monocytes, eosinophils, and basophils to their defensive function and to the condition that raises each.",Yes,Yes,2,high,w10-leukocytes,151
181,3,11,"Blood, and how the body defends itself",Blood,Hemostasis,"Order the three phases of hemostasis, vascular spasm, platelet plug formation, and coagulation, and identify the role of von Willebrand factor and thromboxane.",Yes,,2,core,w10-hemostasis,152
182,3,11,"Blood, and how the body defends itself",Blood,Coagulation cascade,"Compare the intrinsic and extrinsic pathways to the common pathway and identify the roles of thrombin, fibrin, calcium, and vitamin K.",Yes,,3,core,w10-coagulation,153
183,3,11,"Blood, and how the body defends itself",Blood,Clot limitation and fibrinolysis,Explain how anticoagulants and plasmin limit and remove a clot and predict the effect of a drug that blocks vitamin K or platelet aggregation.,Yes,,3,high,w10-fibrinolysis,154
184,3,11,"Blood, and how the body defends itself",Blood,ABO and Rh blood types,Predict agglutination for any donor and recipient ABO and Rh combination and explain the mechanism of hemolytic disease of the newborn.,Yes,Yes,3,core,w10-blood-types,155
185,3,11,"Blood, and how the body defends itself",Blood,Hematocrit and hemoglobin determination,Determine hematocrit and hemoglobin from a sample or simulation and evaluate the result against reference ranges.,,Yes,2,core,w10-lab-hematocrit,156
186,3,11,"Blood, and how the body defends itself",Blood,Blood typing,Perform simulated ABO and Rh typing and determine compatible donor types for the result obtained.,,Yes,3,core,w10-lab-blood-typing,157
187,3,11,"Blood, and how the body defends itself",Vascular Physiology,Lymphatic return,State the volume of fluid the lymphatic system returns each day and trace lymph from an interstitial space to the subclavian vein.,Yes,,2,high,w11-lymph-return,180
188,3,11,"Blood, and how the body defends itself",Immune Physiology,Innate defenses,"Describe the physical, chemical, and cellular innate defenses and explain what makes them nonspecific and immediate.",Yes,,2,core,w15-innate-immunity,253
189,3,11,"Blood, and how the body defends itself",Immune Physiology,Inflammation and fever,Order the events of the inflammatory response and explain how the cardinal signs arise and why fever aids defense.,Yes,,3,core,w15-inflammation,254
190,3,11,"Blood, and how the body defends itself",Immune Physiology,Adaptive immunity,"Compare humoral and cell mediated immunity by the cell responsible, the target, and the mechanism of elimination.",Yes,,3,core,w15-adaptive-immunity,255
191,3,11,"Blood, and how the body defends itself",Immune Physiology,Antibody structure and function,Relate antibody structure to antigen binding and name the mechanisms by which antibodies neutralize or mark a target.,Yes,Yes,2,high,w15-antibodies,256
192,3,11,"Blood, and how the body defends itself",Immune Physiology,Immune memory and immunization,Compare the primary and secondary antibody responses and explain how active and passive immunization produce protection.,Yes,,3,core,w15-immune-memory,257
193,3,11,"Blood, and how the body defends itself",Immune Physiology,Immune dysfunction,"Classify allergy, autoimmunity, and immunodeficiency by what the immune system is doing wrong in each.",Yes,,2,support,w15-immune-dysfunction,258
194,3,12,"Digestion, and how you use food for fuel",Endocrine Glands,Growth hormone,Describe the direct and insulin like growth factor mediated actions of growth hormone and predict the result of excess or deficiency before and after epiphyseal closure.,Yes,,3,high,w9-growth-hormone,137
195,3,12,"Digestion, and how you use food for fuel",Endocrine Glands,Thyroid hormone,"Trace thyroid hormone synthesis, state the metabolic actions of T3 and T4, and match hyperthyroid and hypothyroid signs to the underlying rate of metabolism.",Yes,Yes,3,core,w9-thyroid,138
196,3,12,"Digestion, and how you use food for fuel",Endocrine Glands,Cortisol and the stress response,"Describe the metabolic, immune, and cardiovascular actions of cortisol and explain the consequences of chronic elevation.",Yes,,3,core,w9-stress-response,140
197,3,12,"Digestion, and how you use food for fuel",Endocrine Glands,Pancreatic islet hormones,Compare insulin and glucagon by stimulus and by effect on liver glycogen and on plasma glucose and identify the islet cell that secretes each.,Yes,Yes,2,core,w9-islet-hormones,142
198,3,12,"Digestion, and how you use food for fuel",Endocrine Glands,Diabetes mellitus,Distinguish type 1 from type 2 diabetes by mechanism and explain how untreated hyperglycemia produces polyuria and ketoacidosis.,Yes,,3,core,w9-diabetes,143
199,3,12,"Digestion, and how you use food for fuel",Endocrine Glands,Glucose tolerance testing,Plot a glucose tolerance curve from measured or simulated data and distinguish a normal response from an impaired one.,,Yes,3,core,w9-lab-glucose-tolerance,144
200,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Four digestive processes,"Distinguish motility, secretion, digestion, and absorption and identify where in the tract each dominates.",Yes,,2,core,w14-digestive-processes,235
201,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Motility patterns,"Compare peristalsis, segmentation, and the migrating motor complex by pattern and purpose.",Yes,Yes,2,core,w14-gi-motility,236
202,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Neural and hormonal regulation,"Explain short and long reflex control by the enteric nervous system and match gastrin, secretin, cholecystokinin, and glucose dependent insulinotropic peptide to their stimulus and action.",Yes,,3,core,w14-gi-regulation,237
203,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Phases of digestive control,"Describe the cephalic, gastric, and intestinal phases and state the dominant control mechanism in each.",Yes,,2,high,w14-digestive-phases,238
204,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Gastric secretion and mucosal protection,Trace the production of hydrochloric acid by the parietal cell and explain how the mucosal barrier protects the stomach and how ulcers develop when it fails.,Yes,,3,core,w14-gastric-secretion,239
205,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Pancreatic and biliary secretion,State the components of pancreatic juice and bile and explain how bicarbonate neutralizes chyme and how bile salts emulsify fat.,Yes,,3,core,w14-pancreatic-bile-secretion,240
206,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Carbohydrate and protein digestion and absorption,Trace a starch and a protein from mouth to bloodstream naming the enzymes at each step and the transport mechanism at the brush border.,Yes,Yes,3,core,w14-carb-protein-absorption,241
207,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Lipid digestion and absorption,"Trace a triglyceride through emulsification, lipase action, micelle formation, and chylomicron packaging to the lymphatic route and explain why fat takes a different path than glucose.",Yes,,3,core,w14-lipid-absorption,242
208,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Liver function and enterohepatic circulation,"State the metabolic, storage, and detoxification functions of the liver and trace the enterohepatic circulation of bile salts.",Yes,,2,high,w14-liver-function,243
209,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Large intestine and microbiome,"Describe water and electrolyte absorption in the colon, the contribution of the microbiome, and the defecation reflex.",Yes,,2,high,w14-large-intestine,244
210,3,12,"Digestion, and how you use food for fuel",Digestive Physiology,Digestive enzyme experiment,"Test the effect of pH, temperature, and substrate on a digestive enzyme and relate the results to the region of the tract where that enzyme works.",,Yes,3,core,w14-lab-digestion-enzymes,245
211,3,12,"Digestion, and how you use food for fuel",Metabolism and Energy Balance,Absorptive state,"Describe the fate of glucose, amino acids, and fats in the absorptive state and identify insulin as the dominant hormone.",Yes,,2,core,w14-absorptive-state,247
212,3,12,"Digestion, and how you use food for fuel",Metabolism and Energy Balance,Postabsorptive state,"Explain how glycogenolysis, gluconeogenesis, lipolysis, and ketogenesis maintain plasma glucose during fasting and name the hormones that drive each.",Yes,,3,core,w14-postabsorptive-state,248
213,3,12,"Digestion, and how you use food for fuel",Metabolism and Energy Balance,Integrated glucose regulation,Predict the hormonal and metabolic response to a carbohydrate meal and to a prolonged fast and explain how plasma glucose stays within range in both.,Yes,Yes,3,core,w14-glucose-regulation,249
214,3,12,"Digestion, and how you use food for fuel",Metabolism and Energy Balance,Energy balance and metabolic rate,"Define basal metabolic rate, state the factors that raise and lower it, and explain how indirect calorimetry estimates energy expenditure.",Yes,Yes,2,high,w14-metabolic-rate,250
215,3,12,"Digestion, and how you use food for fuel",Metabolism and Energy Balance,Thermoregulation,Trace the negative feedback response to heat and to cold through the hypothalamus and the effectors and explain the mechanism of fever.,Yes,,3,core,w14-thermoregulation,251
216,3,12,"Digestion, and how you use food for fuel",Metabolism and Energy Balance,Metabolic rate measurement,Estimate metabolic rate from measured or simulated oxygen consumption and compare resting values with values after activity.,,Yes,3,high,w14-lab-metabolic-rate,252
217,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Functions and functional zones,State the functions of the respiratory system and distinguish the conducting zone from the respiratory zone by structure and by role in gas exchange.,Yes,Yes,1,core,w12-respiratory-functions,187
218,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Pressure gradients and airflow,Apply Boyle's law to inspiration and expiration and relate alveolar pressure to atmospheric pressure at each point in a quiet breath.,Yes,,3,core,w12-ventilation-mechanics,188
219,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Intrapleural pressure,Explain why intrapleural pressure is subatmospheric and predict what happens to the lung and chest wall when the pleural seal is broken.,Yes,,3,core,w12-intrapleural-pressure,189
220,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Compliance and elastic recoil,Define lung compliance and elastic recoil and predict the effect of fibrosis and of emphysema on each.,Yes,,3,core,w12-compliance,190
221,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Surfactant and surface tension,Explain how surfactant lowers surface tension and why its absence causes alveolar collapse in the premature newborn.,Yes,,3,core,w12-surfactant,191
222,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Airway resistance,"Identify the main determinant of airway resistance and predict the effect of bronchoconstriction, mucus, and sympathetic stimulation on airflow.",Yes,,3,high,w12-airway-resistance,192
223,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Lung volumes and capacities,"Define tidal volume, inspiratory and expiratory reserve volume, residual volume, vital capacity, and total lung capacity and read each from a spirogram.",Yes,Yes,2,core,w12-lung-volumes,193
224,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Obstructive and restrictive patterns,Use the ratio of forced expiratory volume in one second to forced vital capacity to classify a spirometry result as obstructive or restrictive.,Yes,Yes,3,core,w12-spirometry-patterns,194
225,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Alveolar ventilation and dead space,Calculate minute ventilation and alveolar ventilation and explain why slow deep breathing ventilates the alveoli better than rapid shallow breathing.,Yes,Yes,3,core,w12-dead-space,195
226,3,13,"Breathing, gas transport, and blood pH",Respiratory Mechanics,Spirometry,"Record a spirogram, calculate the lung volumes and capacities available from it, and compare the results with predicted values.",,Yes,3,core,w12-lab-spirometry,196
227,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Partial pressures,"Apply Dalton's law to calculate the partial pressure of oxygen in inspired and alveolar air and state the normal partial pressures in alveolar air, arterial blood, and venous blood.",Yes,,3,core,w12-partial-pressures,197
228,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Diffusion at the respiratory membrane,"Apply the determinants of diffusion to the respiratory membrane and predict the effect of edema, fibrosis, and emphysema on gas transfer.",Yes,,3,core,w12-gas-diffusion,198
229,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Ventilation perfusion matching,Explain how local hypoxic vasoconstriction and bronchiolar responses match ventilation to perfusion and predict the consequence of a mismatch.,Yes,,3,high,w12-va-q-matching,199
230,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Oxygen transport and the oxyhemoglobin curve,Explain the sigmoid shape of the oxyhemoglobin dissociation curve and state the physiological advantage of the steep and the flat portions.,Yes,Yes,3,core,w12-oxygen-transport,200
231,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Curve shifts,"Predict the direction of the oxyhemoglobin curve shift produced by a change in pH, carbon dioxide, temperature, or 2,3 bisphosphoglycerate and state what the shift means for tissue oxygen delivery.",Yes,Yes,3,core,w12-hb-curve-shifts,201
232,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Carbon dioxide transport,"Name the three forms in which carbon dioxide is carried, state the approximate percentage of each, and trace the chloride shift in a systemic capillary.",Yes,,3,core,w12-co2-transport,202
233,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Bohr and Haldane effects,Distinguish the Bohr effect from the Haldane effect and explain how the two work together at the tissue and at the lung.,Yes,,3,high,w12-bohr-haldane,203
234,3,13,"Breathing, gas transport, and blood pH",Gas Exchange and Transport,Oxygen content versus partial pressure,Distinguish oxygen content from oxygen partial pressure and saturation and explain why anemia and carbon monoxide poisoning reduce delivery differently.,Yes,,3,high,w12-oxygen-content,204
235,3,13,"Breathing, gas transport, and blood pH",Control of Ventilation,Respiratory centers,Identify the medullary and pontine respiratory centers and explain how the basic breathing rhythm is generated and modified.,Yes,,2,core,w12-respiratory-centers,205
236,3,13,"Breathing, gas transport, and blood pH",Control of Ventilation,Chemoreceptor control,Compare central and peripheral chemoreceptors by stimulus and explain why carbon dioxide is the primary minute to minute drive to breathe.,Yes,,3,core,w12-chemoreceptors,206
237,3,13,"Breathing, gas transport, and blood pH",Control of Ventilation,Ventilation in exercise and at altitude,Predict the ventilatory response to exercise and to acute and chronic altitude exposure and explain the acclimatization changes.,Yes,,3,high,w12-ventilation-adaptation,207
238,3,13,"Breathing, gas transport, and blood pH",Control of Ventilation,Ventilatory response testing,"Measure the change in breathing rate and depth after hyperventilation, breath holding, and rebreathing and explain each result by the change in carbon dioxide.",,Yes,3,core,w12-lab-ventilation-response,208
239,3,13,"Breathing, gas transport, and blood pH",Acid Base and Fluid Balance,Buffer systems,"Compare the bicarbonate, phosphate, and protein buffer systems by location and speed and explain why bicarbonate is the dominant extracellular buffer.",Yes,,2,core,w13-buffer-systems,228
240,3,13,"Breathing, gas transport, and blood pH",Acid Base and Fluid Balance,Respiratory control of pH,Explain how a change in ventilation shifts the carbon dioxide and bicarbonate equilibrium and therefore plasma pH.,Yes,,3,core,w13-respiratory-ph-control,229
241,3,14,"The kidney, and body fluid balance",Endocrine Glands,Calcium homeostasis,"Trace the response to falling plasma calcium through parathyroid hormone, calcitriol, and the actions on bone, kidney, and intestine, and state the role of calcitonin.",Yes,Yes,3,core,w9-calcium-homeostasis,141
242,3,14,"The kidney, and body fluid balance",Renal Physiology,Kidney functions,"List the homeostatic functions of the kidney including water and electrolyte balance, acid base regulation, waste excretion, blood pressure control, and hormone production.",Yes,,1,core,w13-kidney-functions,209
243,3,14,"The kidney, and body fluid balance",Renal Physiology,Nephron structure and function,Match each nephron segment to its dominant transport function and distinguish a cortical from a juxtamedullary nephron by capability.,Yes,Yes,2,core,w13-nephron-function,210
244,3,14,"The kidney, and body fluid balance",Renal Physiology,Three renal processes,"Define filtration, reabsorption, secretion, and excretion and write the equation that relates them for any solute.",Yes,,2,core,w13-renal-processes,211
245,3,14,"The kidney, and body fluid balance",Renal Physiology,Filtration membrane and selectivity,Describe the three layers of the filtration membrane and predict which plasma components appear in the filtrate based on size and charge.,Yes,Yes,2,core,w13-filtration-membrane,212
246,3,14,"The kidney, and body fluid balance",Renal Physiology,Net filtration pressure and GFR,"Calculate net filtration pressure from glomerular hydrostatic pressure, capsular pressure, and colloid osmotic pressure and predict the effect of each change on glomerular filtration rate.",Yes,Yes,3,core,w13-gfr-forces,213
247,3,14,"The kidney, and body fluid balance",Renal Physiology,Regulation of GFR,"Compare myogenic autoregulation, tubuloglomerular feedback, sympathetic control, and hormonal control and predict the effect of afferent and efferent arteriolar constriction on filtration rate.",Yes,,3,core,w13-gfr-regulation,214
248,3,14,"The kidney, and body fluid balance",Renal Physiology,Renal clearance,Calculate the clearance of a substance and use inulin and creatinine clearance to estimate glomerular filtration rate.,Yes,Yes,3,core,w13-renal-clearance,215
249,3,14,"The kidney, and body fluid balance",Renal Physiology,Clearance and handling inference,Use a clearance value relative to glomerular filtration rate to determine whether a substance is net reabsorbed or net secreted.,Yes,Yes,3,high,w13-clearance-inference,216
250,3,14,"The kidney, and body fluid balance",Renal Physiology,Proximal tubule reabsorption,"Explain how the sodium gradient drives reabsorption of glucose, amino acids, and water in the proximal tubule and state why reabsorption there is described as isosmotic.",Yes,,3,core,w13-proximal-reabsorption,217
251,3,14,"The kidney, and body fluid balance",Renal Physiology,Transport maximum and renal threshold,Distinguish transport maximum from renal threshold and explain the appearance of glucose in urine when plasma glucose is elevated.,Yes,Yes,3,core,w13-renal-threshold,218
252,3,14,"The kidney, and body fluid balance",Renal Physiology,Tubular secretion,"State the purpose of tubular secretion and name substances secreted including hydrogen ion, potassium, and organic anions such as drugs.",Yes,,2,high,w13-tubular-secretion,219
253,3,14,"The kidney, and body fluid balance",Renal Physiology,Countercurrent mechanism,Explain how the countercurrent multiplier of the loop of Henle and the countercurrent exchanger of the vasa recta build and preserve the medullary osmotic gradient.,Yes,,3,core,w13-countercurrent,220
254,3,14,"The kidney, and body fluid balance",Renal Physiology,Antidiuretic hormone and urine concentration,Trace the response to dehydration from osmoreceptor firing through antidiuretic hormone release to aquaporin insertion and concentrated urine.,Yes,Yes,3,core,w13-adh-water-balance,221
